message_id,channel_id,channel_name,message_date,new_signal_type,new_ticker,new_entry_low,new_entry_high,new_confidence,review_reason,raw_text,haiku_type,opus_verdict,opus_reason
5546,-1002677824966,JACK SPARO PREMIUM,2026-03-30T18:49:58+00:00,exit,LAES,2.25,2.25,0.55,disagree_old=entry_new=exit,"LAES 2.25 filled for Me.
Full transparency here!",EXIT_SELL,,
5592,-1002677824966,JACK SPARO PREMIUM,2026-04-07T09:09:54+00:00,watchlist,,,,0.95,disagree_old=entry_new=watchlist,"Good early morning my incredible team here.
I am taking risk :
Opening small positions for day trades in :
ADVB if it gets any order fill for me : 
Below 7.10
And above
6.82
In coming 45 minutes to 50 minutes. 
SILO :
0.48~0.51
Also valid for 45 minutes .
If nothing filled in this time mentioned. I will wait till after 
07:00 AM US ET to check further for new trades and will share by then!",,,
717,-1003775983137,JACK SPARO BIOTECH,2026-04-10T19:34:06+00:00,watchlist,OCGN,,,0.92,disagree_old=entry_new=watchlist,"OCGN
below 1.70 will accumulate again. Order valid till 
End of trading season tonight at 
08:00 PM ET US",CONDITIONAL_WATCH,,
5602,-1002677824966,JACK SPARO PREMIUM,2026-04-07T18:53:15+00:00,entry,GEVO,,,0.95,disagree_old=update_new=entry,"I got one order bought for GEVO at
1.97 filled",ENTRY_ORDER,,
5621,-1002677824966,JACK SPARO PREMIUM,2026-04-10T17:43:57+00:00,entry,FUSE,1.62,1.67,0.92,disagree_old=watchlist_new=entry,"I might place a small day trade order in FUSE
1.62~1.67
Valid for the next 10 minutes only!",ENTRY_ORDER_RANGE,APPROVE,"Klassisches Jack-Pattern: 'I might place' + konkreter Preis-Range + 'Valid for N minutes' = Entry. Ticker FUSE korrekt, Range 1.62~1.67 korrekt als entry_low/high, trade_type day_trade korrekt, expiry 10 minutes korrekt, kein SL im Text → null korrekt. Alles sauber."
3462,-1002677824966,JACK SPARO PREMIUM,2025-10-13T14:42:53+00:00,commentary,OCGN,,,0.85,haiku_ambiguous,OCGN,AMBIGUOUS,,
3936,-1002677824966,JACK SPARO PREMIUM,2025-12-05T18:12:26+00:00,commentary,,,,0.7,haiku_ambiguous,I got few at 18.88,AMBIGUOUS,,
4385,-1002677824966,JACK SPARO PREMIUM,2026-01-06T13:46:53+00:00,commentary,ALMS,,,0.75,haiku_ambiguous,ALMS 18,AMBIGUOUS,,
4421,-1002677824966,JACK SPARO PREMIUM,2026-01-08T00:19:19+00:00,commentary,,,,0.85,haiku_ambiguous,"IMG
The ticker name",AMBIGUOUS,,
4616,-1002677824966,JACK SPARO PREMIUM,2026-01-16T17:20:24+00:00,commentary,,,,0.85,haiku_ambiguous,I placed another one at 1.22,AMBIGUOUS,,
4692,-1002677824966,JACK SPARO PREMIUM,2026-01-22T13:47:02+00:00,commentary,,,,0.85,haiku_ambiguous,5.45,AMBIGUOUS,,
4852,-1002677824966,JACK SPARO PREMIUM,2026-01-29T21:42:54+00:00,commentary,,,,0.85,haiku_ambiguous,"I placed small order to risk at
1.18 if fills in the next 7 minutes will trade it then if not will pass . The stock doesn’t have much info about the volume to risk",AMBIGUOUS,,
4889,-1002677824966,JACK SPARO PREMIUM,2026-01-30T21:05:02+00:00,commentary,,,,0.75,haiku_ambiguous,"Edit the order to
0.74 risky one so far but small amount to risk",AMBIGUOUS,,
5087,-1002677824966,JACK SPARO PREMIUM,2026-02-11T15:09:46+00:00,commentary,,,,0.85,haiku_ambiguous,RENX,AMBIGUOUS,,
5268,-1002677824966,JACK SPARO PREMIUM,2026-02-27T16:22:20+00:00,commentary,,,,0.85,haiku_ambiguous,"Entry around 0.62
Two exits around 0.66
Final exit 0.71",AMBIGUOUS,,
5418,-1002677824966,JACK SPARO PREMIUM,2026-03-16T16:16:26+00:00,commentary,WNW,,,0.85,haiku_ambiguous,"WNW
12",AMBIGUOUS,,
4711,-1002677824966,JACK SPARO PREMIUM,2026-01-23T12:56:37+00:00,entry,,15.7,15.7,0.2,low_conf_entry=0.20,"MOVE 
placed an order at 
15.70
For the next 7 minutes 
Again I am not in hurry. I don’t want to ruin my week fomo trading any stock.
If you want to take any risk you always can but try to secure profit.",ENTRY_ORDER,APPROVE,opus error: Expecting value: line 1 column 1 (char 0)
5494,-1002677824966,JACK SPARO PREMIUM,2026-03-24T15:11:36+00:00,entry,,0.52,0.52,0.35,low_conf_entry=0.35,"Two small orders filled at 
0.52 
Placed a SL
at 0.43 will hold if it stays above 0.46",ENTRY_ORDER,APPROVE,"Extraktion ist korrekt: Fills bei 0.52 bestätigt (Entry), SL bei 0.43 explizit genannt. Ticker fehlt tatsächlich weder in dieser Nachricht noch im Parent-Text — ticker=null ist korrekt. Confidence von 0.35 ist angemessen niedrig wegen fehlendem Ticker. Das Signal wird vermutlich ohnehin verworfen werden wegen null-Ticker, aber die Extraktion selbst ist akkurat."
3574,-1002677824966,JACK SPARO PREMIUM,2025-10-22T13:36:26+00:00,commentary,OMEX,,,0.3,opus_reject_after_sonnet_entry,"Added little more OMEX at 2.49 
Might wait to see where it could settle again yesterday I opened only a small position. Increased little more today holding still",ENTRY_ORDER,REJECT,"Dies ist kein neuer Entry, sondern ein Add-on zu einer bestehenden Position ('Added little more', 'yesterday I opened only a small position. Increased little more today holding still'). Es gibt keinen 'placed' Marker, kein TIF, keine Ablaufzeit. Es ist ein Status-Update über eine bereits laufende Position, kein actionable Entry-Signal."
