n|msg_id|date|ticker|signal_type|suggested|text
1|4109|2025-12-15|RADX|watchlist|u|Another one moved big pre market today is RADX  It may get another bull flag if it stays above 13.00 in the coming 10 minutes
2|4112|2025-12-15|RADX|watchlist|n|RADX halted up
3|4114|2025-12-15|RADX|update|u|RADX I Got some at 13 Took half out at 16 Easy trade also
4|4116|2025-12-15|RADX|watchlist|u|RADX halted down again no new trade yet still watching
5|4145|2025-12-16|RADX|entry|b|RADX Placed an order at 5.30 to start with  Another one at 5.00 Left some to get more in case it drops more below 5  this is valid for 45 minutes.
6|4149|2025-12-16|RADX|watchlist|n|I am keeping close watch on RADX team.
7|4153|2025-12-16|RADX|watchlist|w|I am still watching RADX also as I might attempt to add some the lowest it got was 5.77 but I can tell if it gets below 5 it will create another bull oversold zone where it may rev
8|4189|2025-12-19|RADX|update|n|Added another small block of RADX at 5.18 still holding it. Mist still holding  No day trade yet today  I saw AZI might try there will keep you posted but overall  The volume today
9|4211|2025-12-22|RADX|stop_loss_update|s|RADX it needs to stay above 4.65 for me to keep holding it .
10|4216|2025-12-22|RADX|take_profit|u|RADX back green took some out for safety precautions left the rest. The market in some pressure sell and I am looking into some opportunities will share soon whenever they get to m
11|4233|2025-12-23|RADX|update|n|Pay attention to RADX if you still have it. I sold some at 5.62 yesterday but still holding some
12|4265|2025-12-24|RADX|update|s|RADX in a move but I am still holding what left from it.
13|4274|2025-12-26|RADX|watchlist|s|RADX I am watching to see if it will break the wall at 6.00 today so far still holding what left from my trade in it.
14|4117|2025-12-15|MIST|entry|b|MIST  I might get some if it can fill my order at 2.23 to 2.20
15|4126|2025-12-15|MIST|update|u|MIST got some at 2.28 but will hold for now. For swing to long
16|4138|2025-12-16|MIST|watchlist|u|MIST I may add more if it gets me anything below 2 today!
17|4146|2025-12-16|MIST|update|s|MIST still a hold added another medium size block at 2.26
18|4154|2025-12-16|MIST|entry|b|MIST  I placed an order at 2.05 AH to add for my average
19|4161|2025-12-17|MIST|update|n|PCSA Halted up  It may be a day trade target . MIST  Averaged more at 2.03 Final average order for this week for me 1.89 I will hold from here and see how it goes  Yesterday it got
20|4267|2025-12-24|AQST|watchlist|x|A stock to focus on this coming Friday for a possible January price movement. AQST! I will start adding between  5.40 up to 5.70 Possible exit I am aiming for a possible 30% prior 
21|4397|2026-01-06|AQST|entry|b|Placed an order at 5.95 for AQST Swing trade  Valid till end of today!
22|4426|2026-01-08|AQST|entry|b|AQST I placed an order for swing at 6.05 valid till 01:00 PM US ET
23|4062|2025-12-10|GURE|update|x|GURE still holding I hope for anything above 6 to start exit .  As long as it stays above 4 might just hold it for now!
24|4281|2025-12-26|SOPA|entry|b|SOPA is trending in the day trade zone Free float around 10 M Market cap 12  It is very risky as no major resistance got broken yet  But I am trying an order at  1.63  Valid for 6 
25|4005|2025-12-09|NCPL|update|b|Halted up NCPL Got A small order at the opening around 1.05 still holding
26|4007|2025-12-09|NCPL|take_profit|x|Took profit out at 1.50 might share another plan for NCPL soon 🔜.
27|4008|2025-12-09|NCPL|watchlist|u|NCPL If it failed to break 1.54 resistance it may drop below 1.25 to 1.18 there I may enter for quick day trade in the coming 3 to 4 minutes max.
28|4009|2025-12-09|NCPL|update|w|NCPL Time out with no fill the lowest it got 1.27 . Still watching
29|4012|2025-12-09|NCPL|entry|u|NCPL  One more trade  1.42 Valid for 3 minutes
30|4013|2025-12-09|NCPL|watchlist|n|NCPL another halt up
31|4018|2025-12-09|NCPL|watchlist|n|Another volume push got a halt up for NCPL
32|3457|2025-10-13|—|watchlist|w|Possible swings for today to focus on:  OCGN if it gets below 1.57 and stays above 1.50 I might add for swing. GNS If it gets below 0.83 and stays above 0.78  I might add some . AK
33|3460|2025-10-13|—|extend|n|Extended for 3 minutes
34|3461|2025-10-13|—|update|e|Order filled at 1.54
35|3473|2025-10-14|—|update|e|Filled me two orders at 1.89 to 1.88 But all others still in the opening line
36|3489|2025-10-15|—|extend|s|Extended for 3 more minutes
37|3511|2025-10-16|—|update|n|This one expired more than 20 minutes ago with no fill in the time frame .
38|3518|2025-10-17|—|update|e|Small order filled for me at 1.19 and 1.22 I might take profit now and keep some .
39|3998|2025-12-09|—|watchlist|u|Alright my wonderful team. For my the pre market tomorrow so far  I think will keep in my watch list ( didn’t trade yet ) XCUR NCPL I usually prefer pre market over after hours bec
40|4002|2025-12-09|—|watchlist|b|So far my top watch list and possibly day trade spots : XCUR may risk and add some if it can get me any order fill between  8.20 to 7.50   in the coming 25 to 35 minutes so basical
41|4023|2025-12-09|—|cancel|n|Cancelled in case it halts down
42|4051|2025-12-10|—|take_profit|u|That’s a one good trade to cover that POM Entry reached easily just try to secure profit enjoy
43|4068|2025-12-10|—|take_profit|u|Secured my profit at 6.20 money is money. 💵  Life is about taking advantage of some opportunities .
44|4078|2025-12-11|—|extend|s|Extended for another 5 minutes.
45|4079|2025-12-11|—|cancel|u|No fill still. I will watch more .. Volume is decreasing but it may still pull a day trade opportunity but I will only watch for now. So my order cancelled also
46|4085|2025-12-12|—|update|s|Halted down partial order filled for me . The rest got auto cancel
47|4087|2025-12-12|—|take_profit|u|The market is under heavy sell off but if you bought it try to secure any profit . Enjoy
48|4104|2025-12-12|—|take_profit|x|Risked some filled order and sold half of it at 0.29  We made it team nice and easy money 😁
49|4110|2025-12-15|—|update|e|Got filled here might take profit soon pay attention
50|4111|2025-12-15|—|take_profit|s|Sold half at 0.59
51|4115|2025-12-15|—|exit|w|Halted down triggered my sell at 14.50  Might watch for another trade If there is a support above 12.50
52|4127|2025-12-15|—|update|s|This no fill but still open
53|4135|2025-12-16|—|extend|s|Extended the time for another 3 minutes
54|4142|2025-12-16|—|watchlist|n|This one VALID for today team watch it
55|4150|2025-12-16|—|update|b|I might edit this order so far will keep it till 01:00 PM US ET
56|4160|2025-12-17|—|update|e|Activated this order again got small filled at 5.35 Left the others open
57|4164|2025-12-17|—|update|e|Here we go another order filled at 6.53 I provided to you and halted up
58|4166|2025-12-17|—|update|u|The 5.50 order still open Full transparency
