message_id|date|signal_type|ticker|side|entry_low|entry_high|stop_loss|confidence|trade_type|text
3442|2025-10-09T15:06:42+00:00|watchlist|PSTV|long||||0.95|unknown|PSTV I placed a price alert ‼️ ( price alert not an order) at 0.69
3446|2025-10-09T22:27:43+00:00|watchlist|BURU|long||||0.9|unknown|BURU was moving in the last few days. I might watch tomorrow and next week to share a trade there
3447|2025-10-09T22:28:47+00:00|watchlist|YDDL|long||||0.95|unknown|Big move in YDDL I will keep an eye on it in the pre market but it is one of those where the risk is way too much so I will watch it pre market and see if I can trade it
3449|2025-10-10T11:50:08+00:00|entry|GWH|long|3.65||3.3|0.95|day_trade|GWH is moving pre market with some news. Placed an order at  3.65 SL 3.30 Valid for 7 minutes.
3452|2025-10-10T14:55:09+00:00|watchlist|HOWL|long||||0.9|unknown|HOWL I placed a price alert at 1.63  I will keep you posted
3453|2025-10-10T15:34:46+00:00|watchlist|OCGN|long|1.6|||0.85|swing|Major sell off in the market  OCGN at 1.60 I will add some for long / swing
3454|2025-10-10T15:50:44+00:00|watchlist|AKBA|long|2.69|||0.9|swing|I might add AKBA around 2.69 if it gets there today for a swing
3457|2025-10-13T11:04:43+00:00|watchlist||long||||0.95|swing|Possible swings for today to focus on:  OCGN if it gets below 1.57 and stays above 1.50 I might add for swing. GNS If it gets below 0.83 and stays above 0.78  I might add some . AKBA below 2.73 and above 2.66 All those will stay open for me till 12:30 PM US ET
3458|2025-10-13T14:03:00+00:00|entry|ELBM|long|3.49||3.25|0.9|day_trade|ELBM day trade 3.49 SL 3.25 Valid for 4 minutes
3459|2025-10-13T14:23:14+00:00|entry|ELBM|long|4.45||4.15|0.9|day_trade|ELBM still a hot one for day trade  New order 4.45 SL 4.15 Valid for 4 minutes
3460|2025-10-13T14:28:36+00:00|extend||long||||0.95|unknown|Extended for 3 minutes
3461|2025-10-13T14:42:48+00:00|update||long|1.54|||0.9|unknown|Order filled at 1.54
3462|2025-10-13T14:42:53+00:00|watchlist|OCGN|long||||0.85|unknown|OCGN
3465|2025-10-14T10:47:12+00:00|watchlist|ELBM|long||||0.95|unknown|ELBM I placed a price alert at 5.30 Not an order only alert 🚨. I will keep you posted
