message_id,channel_name,message_date,raw_text,stage_reached,new_signal_type,new_ticker,new_confidence,old_signal_type,old_ticker,opus_verdict,opus_reason,review_reason
5546,JACK SPARO PREMIUM,2026-03-30T18:49:58+00:00,"LAES 2.25 filled for Me.
Full transparency here!",haiku,exit,LAES,0.85,entry,LAES,,,disagree_old=entry_new=exit
717,JACK SPARO BIOTECH,2026-04-10T19:34:06+00:00,"OCGN
below 1.70 will accumulate again. Order valid till 
End of trading season tonight at 
08:00 PM ET US",haiku,watchlist,OCGN,0.85,entry,OCGN,,,disagree_old=entry_new=watchlist
5592,JACK SPARO PREMIUM,2026-04-07T09:09:54+00:00,"Good early morning my incredible team here.
I am taking risk :
Opening small positions for day trades in :
ADVB if it gets any order fill for me : 
Below 7.10
And above
6.82
In coming 45 minutes to 50 minutes. 
SILO :
0.48~0.51
Also valid for 45 minutes .
If nothing filled in this time mentioned. I will wait till after 
07:00 AM US ET to check further for new trades and will share by then!",blocker,watchlist,,0.95,entry,ADVB,,,disagree_old=entry_new=watchlist
5602,JACK SPARO PREMIUM,2026-04-07T18:53:15+00:00,"I got one order bought for GEVO at
1.97 filled",opus,entry,GEVO,0.85,update,GEVO,APPROVE,"Klarer Entry: 'got one order bought for GEVO at 1.97 filled' = bestätigter Kauf (filled) bei 1.97. Ticker, Preis und Action stimmen. Kein SL/TP im Text, korrekt als null. Trade-Type unknown ist akzeptabel da nicht spezifiziert.",disagree_old=update_new=entry
5621,JACK SPARO PREMIUM,2026-04-10T17:43:57+00:00,"I might place a small day trade order in FUSE
1.62~1.67
Valid for the next 10 minutes only!",opus,entry,FUSE,0.95,watchlist,FUSE,APPROVE,"Classic Jack pattern: 'I might place' + 'Valid for the next 10 minutes only!' = confirmed Entry per Jack-Linguistik rules. Ticker FUSE correct, entry range 1.62~1.67 correctly parsed, trade_type day_trade correct, expiry 10 minutes correct, no SL/TP mentioned so nulls are appropriate.",disagree_old=watchlist_new=entry
3462,JACK SPARO PREMIUM,2025-10-13T14:42:53+00:00,OCGN,haiku,commentary,OCGN,0.85,,,,,haiku_ambiguous
3900,JACK SPARO PREMIUM,2025-12-03T19:12:30+00:00,"ADCT
3.53",haiku,commentary,ADCT,0.85,,,,,haiku_ambiguous
4385,JACK SPARO PREMIUM,2026-01-06T13:46:53+00:00,ALMS 18,haiku,commentary,ALMS,0.75,,,,,haiku_ambiguous
4432,JACK SPARO PREMIUM,2026-01-08T18:51:37+00:00,Two orders at 1.93 and 1.89 no fill yet,haiku,commentary,,0.75,,,,,haiku_ambiguous
4692,JACK SPARO PREMIUM,2026-01-22T13:47:02+00:00,5.45,haiku,commentary,,0.85,,,,,haiku_ambiguous
